@relation Learn_04

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	state	{ unknown, idle, walk, active }

@data
9830.4, 11468.8, 8683.52, 17423.4, 8.98963e+08, idle
9666.56, 11468.8, 9011.2, 17497.9, 9.03889e+08, idle
10321.9, 11632.6, 8683.52, 17811.9, 9.1549e+08, idle
12943.4, 9666.56, 7536.64, 17826.2, 9.13821e+08, idle
12779.5, 9175.04, 6881.28, 17171.2, 8.97358e+08, idle
12451.8, 9502.72, 6881.28, 17108.5, 8.86383e+08, idle
12779.5, 9175.04, 6389.76, 16980.2, 8.74528e+08, idle
13271, 9502.72, 7372.8, 17910.3, 8.78814e+08, idle
12779.5, 8683.52, 8683.52, 17723.5, 8.82148e+08, idle
12288, 8519.68, 8028.16, 16971.5, 8.77083e+08, idle
12288, 8683.52, 8192, 17132.1, 8.74668e+08, idle
12615.7, 9011.2, 7864.32, 17384, 8.74256e+08, idle
12451.8, 9338.88, 7700.48, 17365.5, 8.73908e+08, idle
12615.7, 9502.72, 7700.48, 17571.4, 8.74998e+08, idle
12451.8, 9011.2, 7700.48, 17191.5, 8.73365e+08, idle
12615.7, 9011.2, 8028.16, 17458.8, 8.73744e+08, idle
9502.72, 11305, 8519.68, 17049.6, 8.72941e+08, idle
10158.1, 11468.8, 8028.16, 17296.6, 8.73301e+08, idle
9994.24, 11305, 8028.16, 17092.1, 8.71142e+08, idle
9830.4, 11796.5, 8192, 17404.1, 8.7005e+08, idle
9830.4, 11141.1, 8355.84, 17046.4, 8.65683e+08, idle
9994.24, 11468.8, 8355.84, 17356.2, 8.64592e+08, idle
9994.24, 11141.1, 8519.68, 17221.9, 8.67254e+08, idle
9994.24, 11141.1, 8192, 17062.2, 8.68842e+08, idle
10158.1, 11468.8, 8355.84, 17451.1, 8.74151e+08, idle
9830.4, 11141.1, 8519.68, 17127.4, 8.7198e+08, idle
9994.24, 11305, 8355.84, 17248.4, 8.70347e+08, idle
9830.4, 11305, 8683.52, 17316, 8.7355e+08, idle
9994.24, 11141.1, 8683.52, 17303.6, 8.75698e+08, idle
9830.4, 11305, 8847.36, 17398.7, 8.77322e+08, idle
9830.4, 11468.8, 8683.52, 17423.4, 8.78946e+08, idle
9666.56, 11468.8, 9011.2, 17497.9, 8.80037e+08, idle
10321.9, 11632.6, 8683.52, 17811.9, 8.84936e+08, idle
12779.5, 8683.52, 8192, 17488, 8.84936e+08, idle
12779.5, 8519.68, 7864.32, 17255.4, 8.84404e+08, idle
12615.7, 8847.36, 7700.48, 17225.8, 8.82798e+08, idle
12615.7, 9338.88, 7536.64, 17411.8, 8.83333e+08, idle
12943.4, 8847.36, 7700.48, 17467.2, 8.82253e+08, idle
12779.5, 8683.52, 7700.48, 17263.2, 8.81721e+08, idle
12779.5, 9011.2, 7864.32, 17503.3, 8.8118e+08, idle
12451.8, 8847.36, 7700.48, 17106.2, 8.79044e+08, idle
12779.5, 9011.2, 8028.16, 17577.5, 8.80659e+08, idle
12124.2, 9175.04, 7536.64, 16969.9, 8.76912e+08, idle
12943.4, 8683.52, 7536.64, 17312.9, 8.75844e+08, idle
12779.5, 9175.04, 7536.64, 17444.2, 8.75305e+08, idle
9502.72, 11305, 8519.68, 17049.6, 8.7369e+08, idle
10158.1, 11468.8, 8028.16, 17296.6, 8.73149e+08, idle
9994.24, 11305, 8028.16, 17092.1, 8.7099e+08, idle
9830.4, 11796.5, 8192, 17404.1, 8.70445e+08, idle
9830.4, 11141.1, 8355.84, 17046.4, 8.67738e+08, idle
9994.24, 11468.8, 8355.84, 17356.2, 8.64987e+08, idle
9994.24, 11141.1, 8519.68, 17221.9, 8.64987e+08, idle
9994.24, 11141.1, 8192, 17062.2, 8.65519e+08, idle
10158.1, 11468.8, 8355.84, 17451.1, 8.68211e+08, idle
9830.4, 11141.1, 8519.68, 17127.4, 8.68211e+08, idle
9994.24, 11305, 8355.84, 17248.4, 8.6875e+08, idle
9830.4, 11305, 8683.52, 17316, 8.70897e+08, idle
9994.24, 11141.1, 8683.52, 17303.6, 8.71438e+08, idle
9830.4, 11305, 8847.36, 17398.7, 8.7466e+08, idle
9830.4, 11468.8, 8683.52, 17423.4, 8.75204e+08, idle
9666.56, 11468.8, 9011.2, 17497.9, 8.79499e+08, idle
10321.9, 11632.6, 8683.52, 17811.9, 8.84398e+08, idle
12943.4, 8519.68, 7208.96, 17090.5, 8.81751e+08, idle
12451.8, 8847.36, 7864.32, 17180.6, 8.81218e+08, idle
12943.4, 9011.2, 7700.48, 17550.8, 8.81218e+08, idle
12779.5, 8355.84, 7864.32, 17175.1, 8.80157e+08, idle
12779.5, 9175.04, 7700.48, 17515.6, 8.79615e+08, idle
12943.4, 9175.04, 7700.48, 17635.5, 8.8123e+08, idle
13107.2, 9175.04, 7208.96, 17548.5, 8.80151e+08, idle
13107.2, 8683.52, 7864.32, 17579.8, 8.80151e+08, idle
12615.7, 8683.52, 7208.96, 16927.1, 8.77518e+08, idle
12779.5, 9011.2, 7700.48, 17430.3, 8.75894e+08, idle
12779.5, 9011.2, 7700.48, 17430.3, 8.75894e+08, idle
12779.5, 8847.36, 7700.48, 17346.2, 8.74821e+08, idle
9502.72, 11305, 8519.68, 17049.6, 8.73206e+08, idle
10158.1, 11468.8, 8028.16, 17296.6, 8.72664e+08, idle
9994.24, 11305, 8028.16, 17092.1, 8.70505e+08, idle
9830.4, 11796.5, 8192, 17404.1, 8.69961e+08, idle
9830.4, 11141.1, 8355.84, 17046.4, 8.67254e+08, idle
9994.24, 11468.8, 8355.84, 17356.2, 8.64502e+08, idle
9994.24, 11141.1, 8519.68, 17221.9, 8.67688e+08, idle
9994.24, 11141.1, 8192, 17062.2, 8.6822e+08, idle
10158.1, 11468.8, 8355.84, 17451.1, 8.69306e+08, idle
9830.4, 11141.1, 8519.68, 17127.4, 8.70903e+08, idle
9994.24, 11305, 8355.84, 17248.4, 8.70903e+08, idle
9830.4, 11305, 8683.52, 17316, 8.70903e+08, idle
9994.24, 11141.1, 8683.52, 17303.6, 8.71983e+08, idle
9830.4, 11305, 8847.36, 17398.7, 8.73068e+08, idle
9830.4, 11468.8, 8683.52, 17423.4, 8.7786e+08, idle
9666.56, 11468.8, 9011.2, 17497.9, 8.80031e+08, idle
10321.9, 11632.6, 8683.52, 17811.9, 8.83863e+08, idle
12779.5, 9011.2, 7372.8, 17288, 8.8333e+08, idle
12779.5, 8847.36, 7536.64, 17274.1, 8.82798e+08, idle
12779.5, 8847.36, 7536.64, 17274.1, 8.81192e+08, idle
12779.5, 9011.2, 7700.48, 17430.3, 8.81727e+08, idle
12779.5, 8355.84, 7208.96, 16885.1, 8.76962e+08, idle
13107.2, 9011.2, 8028.16, 17817.2, 8.79669e+08, idle
12779.5, 8683.52, 7700.48, 17263.2, 8.77521e+08, idle
12943.4, 9338.88, 7536.64, 17650.7, 8.78063e+08, idle
12943.4, 8847.36, 7536.64, 17395.6, 8.78063e+08, idle
13107.2, 8847.36, 7372.8, 17448, 8.75903e+08, idle
12615.7, 9011.2, 7372.8, 17167.3, 8.74306e+08, idle
9502.72, 11305, 8519.68, 17049.6, 8.73232e+08, idle
10158.1, 11468.8, 8028.16, 17296.6, 8.72691e+08, idle
9994.24, 11305, 8028.16, 17092.1, 8.71076e+08, idle
9830.4, 11796.5, 8192, 17404.1, 8.70532e+08, idle
9830.4, 11141.1, 8355.84, 17046.4, 8.68372e+08, idle
9994.24, 11468.8, 8355.84, 17356.2, 8.67281e+08, idle
9994.24, 11141.1, 8519.68, 17221.9, 8.63988e+08, idle
9994.24, 11141.1, 8192, 17062.2, 8.6452e+08, idle
10158.1, 11468.8, 8355.84, 17451.1, 8.67212e+08, idle
9830.4, 11141.1, 8519.68, 17127.4, 8.6828e+08, idle
9994.24, 11305, 8355.84, 17248.4, 8.68818e+08, idle
9830.4, 11305, 8683.52, 17316, 8.73583e+08, idle
9994.24, 11141.1, 8683.52, 17303.6, 8.72491e+08, idle
9830.4, 11305, 8847.36, 17398.7, 8.75183e+08, idle
9830.4, 11468.8, 8683.52, 17423.4, 8.75727e+08, idle
9666.56, 11468.8, 9011.2, 17497.9, 8.78434e+08, idle
10321.9, 11632.6, 8683.52, 17811.9, 8.82801e+08, idle
13271, 8847.36, 7536.64, 17640.8, 8.84936e+08, idle
12943.4, 9011.2, 7372.8, 17409.5, 8.84936e+08, idle
12943.4, 8519.68, 7864.32, 17377.1, 8.83863e+08, idle
12615.7, 9011.2, 7536.64, 17238.3, 8.8333e+08, idle
12943.4, 8847.36, 7536.64, 17395.6, 8.81715e+08, idle
12779.5, 8847.36, 7372.8, 17203.2, 8.80653e+08, idle
12779.5, 8847.36, 7700.48, 17346.2, 8.79038e+08, idle
12779.5, 9011.2, 8028.16, 17577.5, 8.79579e+08, idle
13271, 8519.68, 8028.16, 17696.2, 8.81195e+08, idle
12943.4, 8847.36, 7864.32, 17540.1, 8.80109e+08, idle
12779.5, 8847.36, 7700.48, 17346.2, 8.79574e+08, idle
12779.5, 8847.36, 7536.64, 17274.1, 8.77967e+08, idle
13107.2, 9175.04, 7864.32, 17827.7, 8.79059e+08, idle
12943.4, 8683.52, 7536.64, 17312.9, 8.76912e+08, idle
9502.72, 11305, 8519.68, 17049.6, 8.74752e+08, idle
10158.1, 11468.8, 8028.16, 17296.6, 8.73666e+08, idle
9994.24, 11305, 8028.16, 17092.1, 8.7096e+08, idle
9830.4, 11796.5, 8192, 17404.1, 8.68208e+08, idle
9830.4, 11141.1, 8355.84, 17046.4, 8.67135e+08, idle
9994.24, 11468.8, 8355.84, 17356.2, 8.6875e+08, idle
9994.24, 11141.1, 8519.68, 17221.9, 8.69823e+08, idle
9994.24, 11141.1, 8192, 17062.2, 8.70356e+08, idle
10158.1, 11468.8, 8355.84, 17451.1, 8.72515e+08, idle
9830.4, 11141.1, 8519.68, 17127.4, 8.74112e+08, idle
9994.24, 11305, 8355.84, 17248.4, 8.75186e+08, idle
9830.4, 11305, 8683.52, 17316, 8.75186e+08, idle
9994.24, 11141.1, 8683.52, 17303.6, 8.75186e+08, idle
9830.4, 11305, 8847.36, 17398.7, 8.76272e+08, idle
9830.4, 11468.8, 8683.52, 17423.4, 8.78431e+08, idle
9666.56, 11468.8, 9011.2, 17497.9, 8.8167e+08, idle
10321.9, 11632.6, 8683.52, 17811.9, 8.8333e+08, idle
12779.5, 9011.2, 7536.64, 17358.5, 8.83863e+08, idle
12943.4, 8847.36, 7536.64, 17395.6, 8.83863e+08, idle
12451.8, 9011.2, 7536.64, 17118.7, 8.81727e+08, idle
12943.4, 8847.36, 7372.8, 17325.3, 8.81195e+08, idle
12943.4, 9175.04, 7864.32, 17707.6, 8.81739e+08, idle
12943.4, 9011.2, 7864.32, 17623.3, 8.83354e+08, idle
12779.5, 9175.04, 7864.32, 17588.2, 8.83354e+08, idle
12779.5, 8683.52, 7536.64, 17190.7, 8.81218e+08, idle
12943.4, 9011.2, 7700.48, 17550.8, 8.82292e+08, idle
12943.4, 8847.36, 7372.8, 17325.3, 8.796e+08, idle
