@relation Learn_04

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.04657, 1.14704, 1.79, 0, 1.65, 0, idle
1.0399, 2.0225, 1.785, 0.005, 2.21, 0.56, idle
1.03397, 1.94204, 1.78, 0.00816497, 2.34333, 0.494593, idle
1.0399, 1.03808, 1.78, 0.00707107, 2.1975, 0.497261, idle
1.03397, 2.24637, 1.778, 0.00748331, 2.454, 0.678958, idle
1.03397, 4.52293, 1.77667, 0.00745356, 2.83667, 1.05656, idle
1.03179, 6.10585, 1.77429, 0.00903508, 3.71429, 2.36181, idle
1.02357, 13.5997, 1.77125, 0.0116592, 5.77125, 5.87355, idle
1.04322, 18.1073, 1.77125, 0.0116592, 8.5225, 8.05028, idle
1.03557, 26.8685, 1.77125, 0.0116592, 12.46, 11.3152, idle
1.05504, 26.4472, 1.77625, 0.0172753, 16.8837, 13.3369, idle
1.03663, 18.2814, 1.77625, 0.0172753, 19.5263, 12.1171, idle
1.04957, 24.5769, 1.78, 0.0187083, 23.9563, 11.9175, idle
1.04852, 34.4115, 1.78375, 0.0193245, 30.025, 12.912, idle
1.05655, 31.5265, 1.79, 0.0187083, 35.0938, 11.5422, idle
1.02747, 30.311, 1.7925, 0.0139194, 39.1025, 11.2277, idle
1.06005, 25.615, 1.7975, 0.0185405, 41.2825, 9.59159, idle
1.04814, 23.9701, 1.8, 0.0173205, 41.7512, 9.32537, idle
1.05504, 11.239, 1.7975, 0.0171391, 39.3725, 12.0174, idle
1.04828, 14.9905, 1.79875, 0.0161536, 39.4738, 11.8808, idle
1.07791, 12.7616, 1.805, 0.0234521, 37.35, 13.2317, idle
1.02932, 11.9169, 1.80125, 0.0261904, 32.8963, 13.1094, idle
1.04235, 12.322, 1.79875, 0.0261904, 29.1538, 12.058, idle
1.05726, 10.5767, 1.8025, 0.0238485, 24.4388, 9.12748, idle
1.06193, 12.2012, 1.8025, 0.0238485, 21.425, 6.81646, idle
1.06846, 6.03036, 1.8075, 0.0268095, 17.9537, 3.94973, idle
1.05081, 8.78274, 1.80875, 0.0261904, 17.4125, 4.06828, idle
1.04513, 10.659, 1.80875, 0.0261904, 16.4262, 3.30725, idle
1.0749, 6.48363, 1.8075, 0.024367, 14.6075, 3.7514, idle
1.04752, 8.64547, 1.8125, 0.0198431, 13.9262, 3.62616, idle
1.0138, 2.12233, 1.80625, 0.0307967, 11.8762, 4.39831, idle
1.0301, 1.96469, 1.8025, 0.0330719, 10.4712, 5.07291, idle
1.06141, 2.2559, 1.80125, 0.032186, 8.68625, 4.97655, idle
1.06447, 4.88804, 1.8, 0.0308221, 8.42875, 4.94215, idle
1.04446, 5.05974, 1.79875, 0.030999, 7.57625, 4.34994, idle
1.05551, 5.26491, 1.80125, 0.030999, 6.5175, 3.05164, idle
1.05802, 3.963, 1.79875, 0.028477, 6.31, 3.04236, idle
1.05361, 2.52541, 1.79875, 0.028477, 5.22375, 2.16242, idle
1.04795, 3.41475, 1.80625, 0.0179844, 5.48375, 2.02279, idle
1.04795, 2.80045, 1.81, 0.0122474, 5.625, 1.89968, idle
1.05456, 3.90569, 1.80875, 0.0116592, 6.11625, 1.56016, idle
1.05504, 3.01208, 1.80625, 0.00856957, 5.6675, 1.40803, idle
1.04795, 2.87795, 1.8075, 0.00661438, 5.2375, 1.19402, idle
1.05456, 7.42937, 1.8075, 0.00661438, 5.8175, 2.4962, idle
1.04981, 5.61502, 1.80625, 0.00484123, 6.235, 2.71472, idle
1.0347, 4.48327, 1.8025, 0.00968246, 6.535, 2.52522, idle
1.04062, 2.46274, 1.80125, 0.0105327, 6.335, 2.67633, idle
1.0557, 3.24683, 1.8025, 0.0108972, 6.3875, 2.64195, idle
1.04322, 3.07094, 1.8, 0.0111803, 6.13875, 2.69952, idle
